medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
5D33B207A2EE590F0CE4CB08F27316B0,447706609D4BC15F1D35B66C314EE979,VTS,1,0,2013-01-01 1:38:00,2013-01-01 1:58:00,2,1200,6.06,-73.982849,40.67334,-73.954575,40.733074
DD201ED470BCF3F7E08D5AA473FF0DC8,FFF20BA1518E14B3B23F79DDDE1CA7E6,VTS,1,0,2013-01-01 1:39:00,2013-01-01 1:56:00,1,1020,5.51,-73.982185,40.678558,-73.981178,40.720993
6945300E90C69061B463CCDA370DE5D6,8C79865600F5CBC938B552456556FF5F,VTS,1,0,2013-01-01 1:39:00,2013-01-01 1:58:00,1,1140,9,-73.944717,40.779148,-73.942757,40.714863
F1BE96D13351E3F199217DCE1BAAF043,88751E8A556BCD45B14F0D9DE6CF3FF1,VTS,1,0,2013-01-01 1:39:00,2013-01-01 1:55:00,2,960,2.96,-74.003059,40.720257,-73.979782,40.743401
A0BBA11DF2E009BB4D2E897E65C4884A,60B21A3D2FA3188882788B77CE123CFD,VTS,1,0,2013-01-01 1:42:00,2013-01-01 2:18:00,1,2160,2.27,-73.987045,40.764328,-74.007072,40.743595
484312362F4F9127F7D3487A4171E3B7,560CEB5C4721C39D338F35D0CFBCC2FC,VTS,1,0,2013-01-01 1:43:00,2013-01-01 1:51:00,1,480,1.61,-74.003777,40.732433,-74.015175,40.715607
F42B669EB2694544EC745820491DB6C7,88043C20530DB08F2E587A9031C2A166,VTS,1,0,2013-01-01 1:45:00,2013-01-01 2:10:00,1,1500,4.83,-73.996727,40.661621,-73.989677,40.715733
991D0F2BFE8C0E7EFAD3440E7D5E75AF,D222F6060CD23E4A14801FA8894ADF23,VTS,1,0,2013-01-01 1:47:00,2013-01-01 1:59:00,1,720,2.11,-73.910629,40.752659,-73.877655,40.760056
8E38C50BAA33C67E44678D7D18B87B54,A7B7AAEF95483779C50A7A0551EBD2E4,VTS,1,0,2013-01-01 1:48:00,2013-01-01 2:05:00,5,1020,1.45,-73.97213,40.757214,-73.991371,40.755814
809E047F8404F322D6A19D4B7B9D5FF7,4C46EAE48A0E82CD2A3440994C9E7255,VTS,1,0,2013-01-01 1:50:00,2013-01-01 2:04:00,1,840,3.16,-73.948204,40.77467,-73.988731,40.776718
13C1BCFC3B73B6ADBA4212B1CC7AA615,21F672B806E974E9385EF7F0FA17389C,VTS,1,0,2013-01-01 1:50:00,2013-01-01 2:07:00,2,1020,5.54,-73.973824,40.779179,-73.976944,40.729004
0B3D3D51C78E944F68DC04209E86D5F7,C547778100387B58D789079F2D0ECA17,VTS,1,0,2013-01-01 1:51:00,2013-01-01 1:59:00,1,480,0.99,-74.000999,40.736771,-73.997177,40.726276
638DE546EB32ADF9918A33040A20F9E3,5A61402F5859CFD5D937A2708962BFF0,VTS,1,0,2013-01-01 1:52:00,2013-01-01 1:56:00,1,240,0.66,-73.975113,40.790112,-73.970421,40.796505
CFD72ACC57CAB42A7776C76510DFBB90,ADE1C7411A81CBB5C8AB4F1E011051E6,VTS,1,0,2013-01-01 1:53:00,2013-01-01 2:06:00,1,780,1.95,-73.977631,40.78952,-73.957367,40.774616
1D4E668DD639DDFDD66E96FB859DB7C3,50B253B114E06B21A8CAFF009836FBDE,VTS,1,0,2013-01-01 1:54:00,2013-01-01 2:02:00,1,480,1.22,-73.993805,40.721222,-73.984261,40.725086
BD338949D329917156741A02BB89FDD1,55CE099AB9B7AB7C6D91BD0CFA264100,VTS,1,0,2013-01-01 1:56:00,2013-01-01 2:12:00,5,960,2.57,-73.988289,40.67086,-73.958,40.689156
6AEC4533E4A5F38CD0B20CCD14AC0810,867294E95568CD9D8214433BD50AF29D,VTS,1,0,2013-01-01 1:56:00,2013-01-01 2:13:00,5,1020,2.37,-73.985275,40.763554,-73.981117,40.741203
DFACA41136968CD70BB40B156E9E5A2C,2AFC088DF49D952FC3ACD04447D98058,CMT,1,N,2013-01-01 1:56:38,2013-01-01 2:01:14,4,275,1,-74.007645,40.725727,-74.004578,40.739716
D969DA336C0DBBD7EBA2582AC43ECDED,5E0C6E9386943D5FF95527E3E5CFDE72,VTS,1,0,2013-01-01 1:57:00,2013-01-01 1:59:00,1,120,0.83,-74.004913,40.730026,-74.006691,40.720531
9F8C0E2FD73112A4F8D747200CD5FF8E,7DE181DCBE506D2278E37DD6F7FB060B,VTS,1,0,2013-01-01 1:59:00,2013-01-01 2:22:00,1,1380,12.96,-73.921288,40.770977,-73.991722,40.66695
